email,email_domain,business_name,website,website_domain,category,industry_group,industry_slug,niche,country,city,role_type,contact_form_url,profile_url,source_url,score,status,occurrences,source_kind,source_files_count,source_files
bookings@vivalablonde.com.au,vivalablonde.com.au,Viva La Blonde,https://vivalablonde.com.au/,vivalablonde.com.au,beauty,beauty,beauty_salon,,Australia,Perth,reception,,,,116,,12,csv | json,8,clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_all.html | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_batches/email_11.html | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_batches/email_11.json | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_queue.csv | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_queue.json | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/spacemail/spacemail_11.json | email_addresses.csv | email_addresses.txt
floreat@skindeep.net.au,skindeep.net.au,Skindeep Medi-Spas,https://skindeep.net.au/?utm_source=GMB&utm_medium=organic&utm_campaign=GMB,skindeep.net.au,beauty,beauty,beauty_salon,,Australia,Perth,personal_or_role,,,,111,,12,csv | json,8,clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_all.html | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_batches/email_13.html | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_batches/email_13.json | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_queue.csv | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_queue.json | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/spacemail/spacemail_13.json | email_addresses.csv | email_addresses.txt
hello@uniquebeautystyle.com,uniquebeautystyle.com,Unique Beauty & Style - Hair and Beauty in West Perth,https://uniquebeautystyle.com/,uniquebeautystyle.com,beauty,beauty,beauty_salon,,Australia,Perth,generic_business,,,,66,,12,csv | json,8,clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_all.html | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_batches/email_34.html | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_batches/email_34.json | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_queue.csv | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_queue.json | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/spacemail/spacemail_34.json | email_addresses.csv | email_addresses.txt
info@archbeautybar.com.au,archbeautybar.com.au,ARCH BEAUTY BAR,http://www.archbeautybar.com.au/,archbeautybar.com.au,beauty,beauty,beauty_salon,,Australia,Perth,generic_business,,,,61,,12,csv | json,8,clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_all.html | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_batches/email_36.html | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_batches/email_36.json | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_queue.csv | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_queue.json | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/spacemail/spacemail_36.json | email_addresses.csv | email_addresses.txt
info@chillicouture.com.au,chillicouture.com.au,Chilli Couture,https://chillicouture.com.au/,chillicouture.com.au,beauty,beauty,beauty_salon,,Australia,Perth,generic_business,,,,66,,12,csv | json,8,clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_all.html | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_batches/email_29.html | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_batches/email_29.json | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_queue.csv | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_queue.json | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/spacemail/spacemail_29.json | email_addresses.csv | email_addresses.txt
info@houseofernest.com.au,houseofernest.com.au,House of Ernest,http://www.houseofernest.com.au/,houseofernest.com.au,beauty,beauty,beauty_salon,,Australia,Perth,generic_business,,,,66,,12,csv | json,8,clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_all.html | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_batches/email_31.html | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_batches/email_31.json | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_queue.csv | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_queue.json | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/spacemail/spacemail_31.json | email_addresses.csv | email_addresses.txt
mejoondalup@mauricemeade.com.au,mauricemeade.com.au,Maurice Meade Perth Westend,https://mauricemeade.com.au/,mauricemeade.com.au,beauty,beauty,beauty_salon,,Australia,Perth,personal_or_role,,,,116,,12,csv | json,8,clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_all.html | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_batches/email_9.html | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_batches/email_9.json | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_queue.csv | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_queue.json | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/spacemail/spacemail_9.json | email_addresses.csv | email_addresses.txt
perth@toniandguy.com.au,toniandguy.com.au,TONI&GUY Perth,https://www.toniandguy.com.au/salons/wa-locations/perth/,toniandguy.com.au,beauty,beauty,beauty_salon,,Australia,Perth,personal_or_role,,,,111,,12,csv | json,8,clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_all.html | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_batches/email_13.html | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_batches/email_13.json | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_queue.csv | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_queue.json | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/spacemail/spacemail_13.json | email_addresses.csv | email_addresses.txt
queenstbeauty@gmail.com,gmail.com,QueenSt. Beauty Lounge,http://www.queenstbeauty.com/,queenstbeauty.com,beauty,beauty,beauty_salon,,Australia,Perth,personal_or_role,,,,116,,12,csv | json,8,clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_all.html | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_batches/email_10.html | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_batches/email_10.json | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_queue.csv | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_queue.json | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/spacemail/spacemail_10.json | email_addresses.csv | email_addresses.txt
beautysalonstarlife@gmail.com,gmail.com,Star Life Beauty Salon,https://starlifebeautysalon.ca/,starlifebeautysalon.ca,beauty,beauty,beauty_salon,,Canada,Edmonton,personal_or_role,,,,116,,12,csv | json,8,clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_all.html | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_batches/email_10.html | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_batches/email_10.json | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_queue.csv | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/email_queue.json | clients_help_manual_outreach_pack_win_2026-05-20/clients_help_manual_outreach_win_2026-05-20/spacemail/spacemail_10.json | email_addresses.csv | email_addresses.txt
